#,I confirm that I have read and fully understand the purpose and nature of the study and agree to participate in it.,What is your gender? ,Age,residency,Educational level ,marital status,What is your source of information about osteoarthritis?,Do you know someone diagnosed with osteoarthritis? ,Do you think that knee osteoarthritis is a chronic problem? ,Do you think that knee osteoarthritis is rare? ,Do you think that all types of joints may suffer from osteoarthritis? ,Do you think that knee osteoarthritis is the result of a cold or moist atmosphere? ,What do you think is the underlying mechanism of osteoarthritis? You can choose more than one option,Do you think that genetics is a risk factor for osteoarthritis?,Do you think that advancing age is a risk factor for osteoarthritis?,Do you think that high BMI is a risk factor for knee osteoarthritis? ,Do you think that the incidence of knee osteoarthritis is equal between males and females?,Do you think that being active makes osteoarthritis feel better? ,Do you think that previous knee injury is a risk factor for osteoarthritis? ,Do you think that pain is the only symptom of knee osteoarthritis?,Do you think joint stiffness is a sign of knee osteoarthritis?,Do you think knee redness is a sign of knee osteoarthritis? ,Do you think locking of the knee is a sign of knee osteoarthritis?,Do you think increased joint warmth is a sign of knee osteoarthritis? ,Do you think that osteoarthritis may lead to loss of joint movement?,Do you think weakness of the muscle is a sign of knee osteoarthritis? ,Do you think numbness is a sign of knee osteoarthritis?,Do you think that analgesics may improve symptoms?,Do you think that hot or cold packs to the knee may improve symptoms? ,"Do you think that some types of exercises, such as swimming, are suitable for osteoarthritis patients?",Do you think that physiotherapy can improve the symptoms of osteoarthritis? ,Do you think that steroid injections in the joint help to relieve severe symptoms temporarily? ,Do you think that joint replacement surgery will be needed at some point for osteoarthritis? 
78,Yes,male,37,Jenin ,university,Married,others,Yes,no,no,no,Not sure,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,Yes,Yes,Yes,no,Yes,Not sure,Yes,Not sure,no,Yes,Not sure,no,Yes,Yes,Yes,Yes,Not sure
79,Yes,female,23,Jenin ,university,Married,"Personal history, healthcare",Yes,Yes,no,no,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,Not sure,Yes,no,Yes,Not sure,no,Yes,Yes,no,no,Not sure,Yes,no,Yes,Not sure,Yes,Yes
80,Yes,male,47,Tubas,university,Married,media,Yes,Yes,no,no,no,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,no,Yes,no,no,no,Yes,no,Yes,no,no,no,no,no,Yes,no,Yes
81,Yes,female,24,Jenin ,university,Married,others,no,Yes,no,Yes,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Not sure,no,Yes,Yes,Yes,Not sure,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
82,Yes,female,28,Jenin ,university,Married,friends/relatives ,Yes,Yes,no,no,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Not sure,Yes,Yes,Yes,no,Not sure,Not sure,Yes,no,Yes,Not sure,no,Yes,no,Yes,Yes,Yes,Yes
83,Yes,female,50,Jenin ,Postgraduate studies (Masters/PhD),single,"Personal history, friends/relatives ",Yes,Yes,no,Yes,Not sure,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,Not sure,Yes,Yes,no,Not sure,Yes,Yes,Not sure,Yes,Not sure,Not sure,no,Not sure,Not sure,Not sure,Yes,Not sure
84,Yes,female,18,Jenin ,high school,single,others,Yes,Yes,no,Not sure,Not sure,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Yes,Not sure,no,no,Yes,Yes,Not sure,Yes,Not sure,no,Yes,Yes,Yes,Yes,Yes,Yes
85,Yes,female,18,Jenin ,high school,single,friends/relatives ,Yes,Yes,no,Not sure,Yes,cartilage at the end of the bones wearing down over time,Yes,Not sure,Yes,no,no,Not sure,no,no,Yes,Yes,Yes,Yes,Not sure,no,Yes,no,no,no,Yes,Yes
86,Yes,female,22,Jenin ,university,single,study,no,Yes,Not sure,no,Not sure,cartilage at the end of the bones wearing down over time,Yes,Yes,Not sure,no,Not sure,Yes,no,Not sure,no,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,no
87,Yes,male,26,Jenin ,university,Divorced,"Personal history, friends/relatives , study",Yes,Yes,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
88,Yes,female,21,Jenin ,university,Married,media,no,Yes,Not sure,no,Not sure,"decreased blood supply to the joint, nerve compression near the joint ",Not sure,Yes,Yes,Not sure,Yes,Not sure,Not sure,Yes,no,Yes,Not sure,Yes,Not sure,no,Yes,Yes,Yes,no,Yes,Yes
89,Yes,female,35,Jenin ,university,Married,friends/relatives ,Yes,Yes,no,Yes,Yes,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Not sure,Not sure,Not sure,no,Yes,Not sure,Not sure,Not sure,Yes,Yes,Yes,Not sure,Yes,Yes,Yes
90,Yes,female,23,Jenin ,university,single,study,no,no,no,no,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no
91,Yes,female,23,Jenin ,university,single,study,Yes,Yes,no,Yes,no,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,no,Yes,no,Yes,no,no,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes
92,Yes,female,23,Jenin ,university,single,study,no,Not sure,no,Yes,no,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Not sure,Yes,no,Yes,no,Yes,no,Yes,Not sure,no,Not sure,no,Yes,no,Yes,Not sure
93,Yes,male,24,Jenin ,university,Married,"Personal history, friends/relatives ",Yes,Yes,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,no,Yes,Yes,Not sure,Yes,Not sure,Yes,Not sure,Not sure,Yes,Yes,Yes,no,Yes,Yes,Not sure,Yes
94,Yes,male,18,Jenin ,high school,single,study,no,Yes,Yes,no,no,"decreased blood supply to the joint, nerve compression near the joint , crystal accumulation in the joint",no,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Yes,no,Yes,no,no,Yes,Not sure,Not sure,Yes,Yes,Yes
95,Yes,male,21,Jenin ,university,single,study,no,Yes,no,Yes,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes
96,Yes,female,18,Jenin ,high school,single,study,no,Yes,Not sure,no,Not sure,"infection, nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Not sure,no,Yes,Yes,no,Yes,Yes,Yes,no,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Not sure,no
97,Yes,male,25,Jenin ,university,Married,friends/relatives ,Yes,Yes,no,Yes,Yes,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,Not sure,Not sure,Yes,Yes,Not sure,no,Not sure,Not sure,Yes,no,no,Yes,Yes,no,Not sure,Yes,Yes
98,Yes,female,23,Jenin ,university,single,study,no,Yes,no,Not sure,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Not sure,no,no,Yes,no,Not sure,Yes,Yes,Not sure,Yes,Yes,Not sure,Yes,no,Yes,Yes,Yes,Yes
99,Yes,female,23,Jenin ,university,single,study,Yes,Yes,no,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,Not sure,Yes,Yes,no,Yes,Yes,Not sure,Yes,Not sure,Not sure,no,Yes,Yes,Not sure,Yes,Yes,Yes
100,Yes,female,27,Jenin ,university,Married,friends/relatives ,Yes,Yes,no,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,no,Yes,Yes,Yes,Yes,Yes
101,Yes,female,18,Jenin ,high school,single,friends/relatives ,no,Yes,no,Not sure,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,Not sure,Yes,Yes,no,Yes,Not sure,Not sure,Yes,Not sure,Yes,no,Not sure,Yes
102,Yes,female,25,Jenin ,university,Married,friends/relatives ,Yes,Yes,no,Not sure,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,no,Yes,no,Not sure,Not sure,Yes,Not sure,no,no,Yes,Yes,Yes,no,Yes,Yes,Not sure
103,Yes,female,21,Jenin ,university,single,"Personal history, friends/relatives , study",Yes,Yes,no,Yes,Not sure,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,Not sure,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Not sure
104,Yes,female,23,Tubas,university,single,study,no,Yes,no,Yes,Not sure,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Not sure,no,Not sure,Not sure,Yes,Not sure,Yes,Not sure,Not sure,no,Yes,Not sure,Yes,Yes,Not sure
105,Yes,female,52,Jenin ,high school,Married,Personal history,Yes,no,no,Yes,no,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,no,Yes,no,Yes,Yes,Yes,Yes,no,no,no,Yes,Yes,Not sure,no,Yes,Yes
106,Yes,female,24,Jenin ,Postgraduate studies (Masters/PhD),single,study,Yes,Yes,no,Yes,no,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
107,Yes,female,34,Jenin ,university,Married,others,Yes,Yes,no,Yes,Not sure,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Yes,Yes,no,Not sure,Not sure,Yes,Not sure,Yes,Yes,Not sure,no,Yes,Yes,Yes,no,Yes
108,Yes,male,21,Hebron,university,single,"friends/relatives , others",Yes,Yes,no,no,Yes,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,no,Yes
109,Yes,female,22,Hebron,university,single,study,no,Yes,no,no,no,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
110,Yes,female,22,Hebron,university,single,"study, healthcare",Yes,Yes,Yes,Not sure,Yes,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,Yes,no,Yes,Not sure,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,no,no,Yes,Yes
111,Yes,female,22,Hebron,university,Married,others,no,Not sure,no,Yes,Yes,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,Not sure,Yes,Yes,Not sure,Not sure,Not sure,Yes,Not sure,Yes,Yes,Not sure,Not sure,Not sure,Yes,Yes,Not sure,Not sure
112,Yes,female,23,Hebron,university,single,"friends/relatives , others",Yes,Yes,no,no,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,Not sure,no,Yes,no,Not sure,Not sure,no,Not sure,Yes,Yes,Yes,no,Yes,Not sure,Yes,Yes,Not sure
113,Yes,female,20,Hebron,university,single,study,no,Not sure,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Not sure,Yes,Yes,Yes,Not sure,Not sure,Not sure,Yes,Yes,Not sure,no,Yes,Yes,Not sure,no,Yes,Not sure,Yes,Yes,no
114,Yes,female,22,Hebron,university,single,"friends/relatives , study",Yes,Yes,no,Not sure,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,Not sure,Yes,Yes,no,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
115,Yes,female,18,Hebron,high school,single,others,no,Yes,no,Yes,Yes,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,Yes,no,Yes,no,Yes,Not sure,no,Yes,Yes,Yes
116,Yes,female,22,Hebron,university,single,study,no,Yes,Not sure,Yes,no,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Not sure,no,Yes,no,no,Not sure,Yes,Yes,Not sure,Yes,no,Yes,Yes,Not sure,no
117,Yes,female,23,Hebron,university,Married,"friends/relatives , study, others",Yes,Yes,no,Not sure,Yes,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,no,Yes,no,Not sure,Not sure,Yes,Not sure,Not sure,Not sure,Not sure,Yes,no,no,Yes,Yes,Not sure
118,Yes,female,23,Hebron,university,single,"study, healthcare",Yes,Yes,no,Not sure,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Not sure,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Not sure,Yes,Yes
119,Yes,female,23,Hebron,university,single,healthcare,Yes,Yes,no,Yes,no,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,no,Yes,no,Yes,no,Yes,no,Yes,Yes,Yes,no,Yes,no,Yes,Yes,Yes
120,Yes,female,23,Hebron,university,single,others,no,Yes,no,Not sure,no,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Not sure,Yes,no,no,Yes,no,no,Yes,Yes,Yes,no,Not sure,Yes,no,Yes,Yes,Yes,Yes,Not sure
121,Yes,female,22,Hebron,university,single,"study, media",Yes,Yes,no,Yes,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,no,Not sure,no,Yes,Yes
122,Yes,female,24,Hebron,university,Married,"friends/relatives , study",Yes,Yes,no,Yes,Yes,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,no,Yes,no,Yes,Yes,Yes,Yes,Yes,no,no,no,no,no,Yes,Yes,Yes
123,Yes,female,23,Hebron,university,Married,"friends/relatives , study",Yes,Yes,Not sure,Yes,Not sure,cartilage at the end of the bones wearing down over time,no,Yes,Yes,Yes,Not sure,Yes,no,Not sure,Not sure,Yes,Not sure,Yes,Not sure,Not sure,Not sure,Yes,Yes,Yes,Not sure,Not sure
124,Yes,female,23,Hebron,university,Married,"Personal history, healthcare",Yes,Yes,no,Yes,Yes,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time",Not sure,Yes,Yes,no,Yes,Not sure,Not sure,Not sure,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no
125,Yes,female,22,Hebron,university,single,study,no,Yes,no,Not sure,Yes,cartilage at the end of the bones wearing down over time,no,no,Yes,no,Not sure,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,no,Yes,Yes,Yes,Yes
126,Yes,female,22,Hebron,university,single,others,no,Yes,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Not sure,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,no,Yes,Not sure,Not sure,Yes
127,Yes,female,21,Hebron,university,Married,"friends/relatives , others",Yes,Yes,no,Yes,Yes,nerve compression near the joint ,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
128,Yes,female,22,Hebron,university,single,study,Yes,Yes,no,no,Not sure,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes
129,Yes,female,21,Hebron,university,single,study,Yes,Yes,no,Not sure,Not sure,"infection, crystal accumulation in the joint",Yes,Yes,Yes,Not sure,Not sure,Yes,no,no,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,no,no,no,Yes,Not sure
130,Yes,female,22,Hebron,university,single,others,Yes,Yes,no,no,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,no,Not sure,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes
131,Yes,female,21,Hebron,university,single,"friends/relatives , study, others",Yes,Yes,no,no,Yes,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Not sure,Yes,no,Yes,no,Yes,Not sure,Yes,no,Yes,Yes,Yes,no,Yes,Yes,Not sure
132,Yes,female,22,Hebron,university,single,study,no,Yes,no,Yes,Yes,"infection, nerve compression near the joint , crystal accumulation in the joint",Yes,Yes,no,Yes,Yes,Yes,no,Yes,no,no,no,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,no
133,Yes,female,21,Hebron,university,single,"friends/relatives , study",Yes,Yes,Yes,Yes,Yes,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
134,Yes,female,22,Hebron,university,single,friends/relatives ,Yes,Yes,no,Not sure,Yes,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Not sure,Yes,Yes,Not sure,Not sure
135,Yes,female,22,Hebron,university,single,study,Yes,Not sure,no,Yes,Yes,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
136,Yes,female,22,Hebron,university,single,study,no,Yes,Not sure,Yes,no,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time",Not sure,Yes,Yes,no,no,Yes,no,no,no,Yes,Not sure,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Not sure,Yes
137,Yes,female,21,Hebron,university,Married,"healthcare, others",Yes,Yes,no,Not sure,Yes,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Not sure,Not sure,no,no,no,no,no,no,no,no,no,no,no,Not sure,Yes,Yes
138,Yes,female,21,Hebron,high school,single,study,no,Yes,no,Not sure,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,no,Yes,Yes,Yes,no,Not sure,Yes,Yes,Yes,Yes
139,Yes,female,22,Hebron,university,single,study,no,Yes,no,no,no,"infection, cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure
140,Yes,female,18,Hebron,university,single,study,no,Yes,no,Yes,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,Not sure,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes
141,Yes,female,22,Hebron,university,Married,media,no,Yes,Yes,Yes,Not sure,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time",Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Not sure,Not sure
142,Yes,female,22,Hebron,university,Married,study,no,Yes,no,Yes,Yes,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
143,Yes,female,22,Hebron,university,Married,study,no,Yes,Yes,no,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,Not sure,Yes,Not sure,no,no,Yes,Not sure,no,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes
144,Yes,female,22,Hebron,university,single,friends/relatives ,Yes,Yes,no,Yes,Yes,infection,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
145,Yes,female,22,Hebron,university,single,study,no,Yes,no,Not sure,no,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Not sure,Yes,no,Not sure,no,Yes,no,Yes,Yes,no,no,Yes,no,Yes,Yes,Yes
146,Yes,female,21,Hebron,primary school,Married,others,no,no,Yes,Not sure,Yes,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Not sure,Not sure,no,Yes,Yes,no,Yes,no,no,no,Not sure,no,Not sure,no,no,no,Not sure,Not sure,Yes
147,Yes,female,22,Hebron,university,single,study,Yes,Yes,no,Yes,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,no,Yes,no,Not sure,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
148,Yes,male,56,Hebron,university,Married,Personal history,Yes,Yes,Yes,Yes,Yes,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
149,Yes,female,22,Hebron,university,single,study,no,Yes,no,no,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,no,Yes,no,Yes,no,Yes,no,Yes,no,Not sure,Yes,Yes,Yes,Not sure,Yes,Yes
150,Yes,female,22,Hebron,high school,Married,friends/relatives ,Yes,Yes,no,Yes,Yes,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Yes,Not sure,no,Yes,no,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes
151,Yes,female,22,Hebron,university,single,healthcare,no,Yes,no,Yes,Yes,"infection, nerve compression near the joint ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
152,Yes,female,22,Hebron,university,single,study,no,Yes,no,Not sure,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Not sure,Yes,Not sure,Not sure,Yes,no,Yes,Yes,Yes,Yes
153,Yes,female,46,Hebron,high school,Married,Personal history,no,Yes,no,no,no,nerve compression near the joint ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
154,Yes,female,22,Hebron,university,single,"friends/relatives , study",Yes,no,no,no,Not sure,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Not sure,Yes,no,Yes,Yes,Yes,no,Yes,no,no,Yes,Yes,no,Yes,Not sure,Yes
155,Yes,female,20,Hebron,university,single,"friends/relatives , study",Yes,Yes,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
156,Yes,female,53,Hebron,high school,Married,friends/relatives ,Yes,Yes,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Not sure
157,Yes,female,21,Hebron,university,single,media,no,Yes,no,no,no,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Not sure,Yes,no,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,no,Yes,Yes,Yes
158,Yes,female,20,Hebron,university,single,study,no,Yes,no,Not sure,Not sure,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Not sure,Yes,no,Yes,Not sure,Not sure,Not sure,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes
159,Yes,female,21,Hebron,university,single,study,no,Yes,Not sure,no,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,Not sure,Yes,Not sure,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes
160,Yes,female,20,Hebron,university,single,study,no,no,no,Yes,Yes,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,no,Yes,Yes,Not sure,Yes,Not sure,Yes,Not sure,Yes,Yes
